pr
45
40.1
36.2
42.8
30.1
32
0
2.5
0
64.3
17.1
31.1
16.4
42.8
49.4
55.1
32.5
1.7
0
1.1
8
2.6
24
11.4
25.5
24.4
62.6
70.1
14.7
52.6
18
0
0
17.7
32.7
19.2
6
47.4
93.4
43
39.1
10
7.6
5.7
11
6.7
5.1
27.1
2.9
8
23.4
67.5
65
17.3
22.5
0
15
0
60.4
12
12.4
94.1
51.8
57.8
25.3
10.4
0
0
26.8
0
9.2
19.2
21.9
26.7
49.6
26.1
59.9
38.2
11
4
0
28.1
31.7
7.7
28.6
8.3
18
42.6
51.8
11.1
6
0
7
16.1
39.6
29
4.2
31
25.8
23.5
94.6
33.2
0
0
2
3.7
7.1
4.5
3
21
36.3
50.6
13.3
1.5
48.4
0
0
2.4
65.4
7
30.8
31.5
20.7
66
15.1
5.5
0
0
0
0
16.7
3.3
25.1
16.5
12.3
67.3
25
34
8
28
10
35.4
27.4
11.6
39
56
54.6
93.1
96.3
9.6
0
15
6.4
47
83.4
47.1
36.8
45.8
122.1
104.6
30.9
0.2
0
0
0
0
9.4
10.3
61.8
30.3
74.3
43
14
36.4
5
0.4
26
127
5.3
5
34.5
41
73.9
56.1
22.8
0
2.3
0
31.9
46.2
4.2
11.5
46.5
20.3
46.2
35.7
76.2
7.3
0
0
8.5
12.7
26.9
11.3
16.3
13.7
33
71.9
84.9
57.3
1
16
0
43.4
67.9
79.5
9.1
35.1
113.3
96.1
8.3
7.9
0.4
2.2
26.1
29
20
66.9
23.8
8.4
38.7
40.9
29.2
7
8
0
11
14.5
30.1
24.5
33.5
37.8
31.3
58.7
64.8
24.6
4
0
0
12.1
26.5
42.5
35.5
28.7
48.6
23.8
60.8
23.2
4
15.3
13
28
57.3
14.8
24.6
46.6
19.2
69.9
25.3
35.2
0
1
0
7.3
24.7
14.7
22.1
22.6
65.6
58.4
22.9
5
33.1
5
36.2
0.4
23.7
12.2
14.6
20.2
29
36.5
42.8
1.4
1
0
13.5
30.8
17.5
11
23.2
32.4
33.1
76.7
98
10.3
0
0.1
7.4
22.5
19
10.7
14.4
5.6
110.1
81
32.2
6
0
9.8
0.9
39.2
30
53.3
19.6
16.5
22.2
22.6
74.9
64
0
0
1
9.8
27.8
48.1
11.8
35.4
29.2
52.1
25.6
34
0
0
0
30.8
11.4
10.9
29.7
28.5
33
37.9
27
17
2
0
9.4
12.8
41.9
11.8
33.2
20.4
50
128.4
81.7
29.1
0.4
3.3
0
13.6
31.7
11
23.5
8.6
31.1
33.2
64.1
51.7
3.6
0
27.2
77.3
57.5
2.3
29.4
5.3
5.9
28.6
36.1
11.8
0
4.7
23
1.8
18.2
23.5
25
16.2
35.1
14.5
45.3
0.2
7.1
0
16
17.7
84
4.4
37.1
40.7
40.4
32
16.1
0.2
0
0
0
17
6.3
44.6
16.3
21.4
19.6
62.2
49.9
42.9
2.6
2.3
5
33.1
29.1
10.5
0
46.4
40.1
40.9
20.6
1.8
1
0
0
56.7
11.7
123.4
30.1
21.8
41.9
22.2
28.2
16.5
10
21.6
0
8.5
21.9
30.1
8.6
1.1
18.5
7.3
30.5
3.2
0.2
8.5
10.2
68.6
29.5
5.1
18.4
5
36.4
45.4
6.6
0
1.4
0
0
9.1
2
23.7
1.2
23.4
33
24.8
49.6
15.8
22.4
0
0
5.7
14.2
59.1
12.4
18.6
22.7
56.3
47
33.1
0.8
8.3
0
3.1
58.2
17.3
18.2
12
63.9
85.2
60.3
30.4
6
7.7
0
33.3
30.1
15.4
53
6.2
46.1
67.3
65.1
10.7
0
0
5.7
23.3
59.8
37.1
18.5
10.6
27.1
44
25.2
20.3
0
0
10.2
0
18.3
1.3
21.1
28.5
7
51.5
43.7
3.4
9.3
0
7.7
28.9
19.5
31
18
3.5
49.9
22.5
31.3
6.3
15
0
18
3.9
11
13.6
21.9
16.9
37.1
43.3
53
1.2
16.3
9
0.4
2.6
11
20.4
13.4
13.6
23.4
37.6
28.4
3
7.2
1.2
11
58.7
21.4
1.9
19.9
12.2
26.9
35
8
23
0
0.5
5.4
29.8
24
20.3
6.7
18
28.3
20.2
37.1
2
3.3
0
0
5.4
55.4
27.4
24.8
4.1
35.3
114.8
52.1
0.1
5.5
0
0
7.6
18.3
40.4
18.1
24.5
29.7
61.6
14.8
19.5
3.3
1.2
0.1
2
23.9
20.1
10
15
12
87.6
91.3
3
23.3
0
0
2.9
31.9
7.6
30.1
18.4
15.7
68
53.8
5.6
0.3
4
4.7
3.4
13.3
16.2
52.9
54.9
29.5
47.7
18.1
0
0.3
0
0.4
68.7
26.8
5.8
11.5
1.6
53.9
59.6
47.2
9
1.5
9
1
3.2
13.7
18.9
0.9
29.3
12.2
9.9
13.8
4.2
14.5
0.3
25.4
49.1
8.5
3.3
13.4
4.7
52.1
27.4
3.9
34
0
0
27.8
14.8
43.6
20.2
11.9
35.1
20.4
51.2
38.5
6.9
0.4
10
2.4
6.9
0
0.3
8.5
19.3
41.9
83.2
50.3
0.7
11.4
4.5
16.1
15
23.8
7.6
25.1
6.4
20
35.6
22.2
15.8
14.9
0
5.1
9.2
20.2
42.8
36.7
43.8
9.6
47.3
39.5
7.8
4.5
0
0.4
7.6
47.4
18
24.3
4.8
38.6
22
53.9
0.1
18.8
1
2.4
82.7
29
33.3
